Date/Time,SHOEBOX:Zone Air Temperature [C](Hourly),PURCHASED AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PEOPLE_COMFORT:Zone Thermal Comfort Fanger Model PPD [%](Hourly) 
 07/31  13:00:00,26.0,0.0,1792614.4390593596,30.95692023064463 
 07/31  14:00:00,26.0,0.0,2076433.3589169288,32.57175361791198 
 07/31  15:00:00,26.0,0.0,2590792.8749201234,36.25766143945119 
 07/31  16:00:00,26.0,0.0,2693527.0001785608,37.1275981373406 
 07/31  17:00:00,26.0,0.0,2682793.272260677,36.97409716681813 
 07/31  18:00:00,26.0,0.0,2411086.0861114815,34.77920385540272 
 07/31  19:00:00,26.0,0.0,2091708.4334773604,32.60822368111652 
 07/31  20:00:00,26.0,0.0,1051513.516591176,26.992323380897763 
 07/31  21:00:00,26.0,0.0,656915.3536136476,24.60096034793408 
 07/31  22:00:00,26.0,0.0,260835.54022427224,23.101932317628564 
 07/31  23:00:00,25.999326659451567,0.0,53280.273412290895,21.53932091968869 
 07/31  24:00:00,25.907421730172876,0.0,0.0,19.7313560533148 
 08/01  01:00:00,25.507353115554066,0.0,0.0,15.414398283237399 
 08/01  02:00:00,24.79609071234826,0.0,0.0,10.80505419669415 
 08/01  03:00:00,24.221501738052216,0.0,0.0,8.317141042309118 
 08/01  04:00:00,23.772126586186546,0.0,0.0,6.82087821407475 
 08/01  05:00:00,23.369632162939828,0.0,0.0,5.838459589732321 
 08/01  06:00:00,23.052549671422225,0.0,0.0,5.396139998674926 
 08/01  07:00:00,23.27279741005401,0.0,0.0,6.245663959928881 
 08/01  08:00:00,23.94799355376634,0.0,0.0,8.464255018963842 
 08/01  09:00:00,24.83789902207903,0.0,0.0,14.28644373192931 
 08/01  10:00:00,25.884442061001864,0.0,484387.4662533931,23.463728708901 
 08/01  11:00:00,25.999999999926815,0.0,1329588.6712079957,27.975259735023113 
 08/01  12:00:00,26.0,0.0,1837614.797044047,31.10948402340628 
 08/01  13:00:00,26.0,0.0,2503919.5792030498,35.58648158776217 
 08/01  14:00:00,26.0,0.0,2740179.161220084,37.012724649876478 
 08/01  15:00:00,26.0,0.0,3110361.1438006849,39.59180674123016 
 08/01  16:00:00,26.0,0.0,3451551.810724766,42.19413609013537 
 08/01  17:00:00,26.0,0.0,3827739.134482018,45.28422788413199 
 08/01  18:00:00,26.0,0.0,3849915.508953054,45.417663015304338 
 08/01  19:00:00,26.0,0.0,3646661.125873574,43.74123892382289 
 08/01  20:00:00,26.0,0.0,2597647.3350224515,37.689846616362839 
 08/01  21:00:00,26.0,0.0,1959525.1180122365,32.88591361124361 
 08/01  22:00:00,26.0,0.0,1301483.9225633327,29.505402097408127 
 08/01  23:00:00,26.0,0.0,927220.1229143059,26.62111831497282 
 08/01  24:00:00,26.0,0.0,661473.0530497863,24.58217931141303 
 08/02  01:00:00,26.0,0.0,469703.9958202435,23.128354641952798 
 08/02  02:00:00,26.0,0.0,322410.23857989939,22.0818309242353 
 08/02  03:00:00,26.0,0.0,157857.49826432838,20.944304834730138 
 08/02  04:00:00,25.989409580937548,0.0,12717.33351940248,19.72139806774113 
 08/02  05:00:00,25.868067164610978,0.0,0.0,18.22906428637961 
 08/02  06:00:00,25.698478327315219,0.0,0.0,17.198699061791836 
 08/02  07:00:00,25.93511641543883,0.0,352878.58653937667,22.197441992473406 
 08/02  08:00:00,25.999999999995155,0.0,995499.5871506922,26.524260399168595 
 08/02  09:00:00,26.0,0.0,1799786.9134170614,31.051466874149527 
 08/02  10:00:00,26.0,0.0,2379225.34546427,34.837132890193597 
 08/02  11:00:00,26.0,0.0,2816696.2418710195,37.67807761637912 
 08/02  12:00:00,26.0,0.0,3704944.7026923384,44.5080267327846 
 08/02  13:00:00,26.0,0.0,3923773.582845997,46.50965053938105 
 08/02  14:00:00,26.0,0.0,3491528.5663158076,43.06605073734277 
 08/02  15:00:00,26.0,0.0,2637425.231519992,36.52618930308288 
 08/02  16:00:00,26.0,0.0,1996943.1333344782,32.306514399152657 
 08/02  17:00:00,26.0,0.0,1562045.1588419844,29.970693313624964 
 08/02  18:00:00,26.0,0.0,1399395.9333895685,29.152223121750663 
 08/02  19:00:00,26.0,0.0,970992.6637429643,26.70800941605712 
 08/02  20:00:00,25.9977042853608,0.0,139143.1336924954,23.027150562557315 
 08/02  21:00:00,25.885364061809005,0.0,0.0,21.61659162885606 
 08/02  22:00:00,25.564322260715927,0.0,0.0,19.178913171635448 
 08/02  23:00:00,25.171097884005336,0.0,0.0,15.970846275241789 
 08/02  24:00:00,24.727157123420388,0.0,0.0,12.710694947088874 
 08/03  01:00:00,24.2189447675427,0.0,0.0,9.829222938822474 
 08/03  02:00:00,23.737461220287768,0.0,0.0,7.801008359599822 
 08/03  03:00:00,23.287562802957394,0.0,0.0,6.395124703741509 
 08/03  04:00:00,22.88170518487772,0.0,0.0,5.57121732613323 
 08/03  05:00:00,22.552237163564013,0.0,0.0,5.161762097292171 
 08/03  06:00:00,22.24032664535976,0.0,0.0,5.008374910389715 
 08/03  07:00:00,22.255443299368879,0.0,0.0,5.0986199096991149 
 08/03  08:00:00,22.96093453364612,0.0,0.0,6.512655587730251 
 08/03  09:00:00,23.926070885814615,0.0,0.0,10.592859690022343 
 08/03  10:00:00,25.05409043739544,0.0,0.0,18.786575873864185 
 08/03  11:00:00,25.9377253696851,0.0,598348.2428945858,27.548615169375386 
 08/03  12:00:00,25.999999999999849,0.0,1699295.0401222707,31.230930909617958 
 08/03  13:00:00,26.0,0.0,1931286.5258864563,32.2221750679884 
 08/03  14:00:00,26.0,0.0,2334034.3497131865,34.85941907249026 
 08/03  15:00:00,26.0,0.0,2457793.359923854,35.3551135375346 
 08/03  16:00:00,26.0,0.0,2864802.28833615,38.12271543198871 
 08/03  17:00:00,26.0,0.0,2667087.180888601,37.00428951303427 
 08/03  18:00:00,26.0,0.0,2374309.875841397,34.82765905570716 
 08/03  19:00:00,26.0,0.0,2509094.5882191176,36.01193409271216 
 08/03  20:00:00,26.0,0.0,1456378.825877403,29.530154517318846 
 08/03  21:00:00,26.0,0.0,817270.3213673489,25.03003898794354 
 08/03  22:00:00,26.0,0.0,250786.90590152058,22.02103020564789 
 08/03  23:00:00,25.993739892822956,0.0,15834.55785447221,20.252196467660885 
 08/03  24:00:00,25.862015940467989,0.0,0.0,18.362606399313344 
 08/04  01:00:00,25.54155612838805,0.0,0.0,15.550030794026143 
 08/04  02:00:00,25.173316546091287,0.0,0.0,12.967265442129447 
 08/04  03:00:00,24.79061516691728,0.0,0.0,10.658175283164596 
 08/04  04:00:00,24.414178546477716,0.0,0.0,8.908089671258507 
 08/04  05:00:00,24.116283650262365,0.0,0.0,7.751108755034849 
 08/04  06:00:00,23.82019358570206,0.0,0.0,6.842636834072041 
 08/04  07:00:00,24.04592959288456,0.0,0.0,8.288182221001073 
 08/04  08:00:00,24.65796997101384,0.0,0.0,10.963747739958288 
 08/04  09:00:00,25.57006089988063,24838.111923778906,150338.79866560893,18.043312130715269 
 08/04  10:00:00,25.999998546384416,90616.7685535751,1133193.558833367,25.695031083044144 
 08/04  11:00:00,26.0,16879.80896832844,1575101.9151069399,29.25185492053897 
 08/04  12:00:00,26.0,379.6686577168657,1914143.9558471814,31.907170810072555 
 08/04  13:00:00,26.0,14938.982740719688,2377862.487073982,35.50741239847658 
 08/04  14:00:00,26.0,47481.74097700164,2615992.6328342815,37.447019805356678 
 08/04  15:00:00,26.0,75329.54463353515,2474493.7179133195,36.135703742225569 
 08/04  16:00:00,26.0,80125.30331952078,2493176.9527221538,36.253726427688587 
 08/04  17:00:00,26.0,88144.17171725459,2681840.602445482,37.917092022906199 
 08/04  18:00:00,26.0,75088.80864708673,2443568.5084739427,35.94984756053844 
 08/04  19:00:00,26.0,88528.28639295046,2104770.907453522,33.17828080661764 
 08/04  20:00:00,26.0,51932.43509630348,1089260.7032794082,26.476727730709695 
 08/04  21:00:00,26.0,36438.42495503565,544816.8527398593,22.437360532405177 
 08/04  22:00:00,25.999566917619189,9695.752342117348,109980.30194737221,20.064131958285299 
 08/04  23:00:00,25.875201684546516,0.0,0.0,17.50382906007282 
 08/04  24:00:00,25.450830687413047,0.0,0.0,13.908633578406566 
 08/05  01:00:00,24.965852754092123,0.0,0.0,10.981879719647039 
 08/05  02:00:00,24.50939902317549,0.0,0.0,8.686496919889868 
 08/05  03:00:00,24.012314842984684,0.0,0.0,6.8585039391412299 
 08/05  04:00:00,23.507836796490975,0.0,0.0,5.631502143809873 
 08/05  05:00:00,22.921961582401015,0.0,0.0,5.046819558110118 
 08/05  06:00:00,22.387036002351523,0.0,0.0,5.15946809391933 
 08/05  07:00:00,22.580873877845929,0.0,0.0,5.012064670031705 
 08/05  08:00:00,23.14340075006753,0.0,0.0,5.404917428766545 
